mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	1	0	0	0.0	0	0	Tempo	4/4	1	1	0						𝅘𝅥=120	120.0	𝅘𝅥	120.0	0.0	
1	1	2	2	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	0	Ich							
1	1	3	3	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	1	will							
1	1	7/2	7/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	2	den							
1	1	0	0	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	3								
1	1	1	1	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	4								
1	1	3/2	3/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	5								
1	1	2	2	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	6								
1	1	3	3	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	7								
2	2	4	4	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	8	Her-							
2	2	5	5	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	9	ren							
2	2	6	6	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	10	lo-							
2	2	7	7	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	11	ben							
2	2	4	4	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	12								
2	2	5	5	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	13								
2	2	6	6	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	14								
2	2	7	7	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	15								
3	3	8	8	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	16	al-							
3	3	19/2	19/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	17	le-							
3	3	10	10	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	18	zeit,							
3	3	8	8	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	19								
3	3	19/2	19/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	20								
3	3	10	10	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	21								
3	3	21/2	21/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	22								
3	3	11	11	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	23								
3	3	23/2	23/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	24								
4	4	25/2	25/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	25	sein							
4	4	13	13	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	26	Lob							
4	4	27/2	27/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	27	soll							
4	4	14	14	1.5	1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	28	im-							
4	4	31/2	31/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	29	mer-							
4	4	12	12	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	30								
4	4	13	13	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	31								
4	4	14	14	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	32								
4	4	15	15	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	33								
