mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	1	0	0	0.0	0	0	Tempo	4/4	1	1	0						𝅘𝅥=132	132.0	𝅘𝅥	132.0	0.0	
1	1	2	2	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	0	O							
1	1	0	0	4.0	0	0	Chord	4/4	2	1	1	1	1	1								
2	2	4	4	4.0	0	0	Chord	4/4	1	1	1	1	1	2	Je-							
2	2	4	4	4.0	0	0	Chord	4/4	2	1	1	1	1	3								
3	3	8	8	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	4	su,							
3	3	10	10	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	5	no-							
3	3	8	8	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	6								
3	3	10	10	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	7	6							
4	4	12	12	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	8								
4	4	13	13	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	9	men							
4	4	14	14	1.5	1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	10	dul-							0
4	4	31/2	31/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	11								
4	4	12	12	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	12								
4	4	14	14	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	13								
5	5	16	16	4.0	0	0	Chord	4/4	1	1	1	1	1	14	ce,							
5	5	16	16	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	15								
5	5	18	18	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	16								
5	5	37/2	37/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	17								
5	5	19	19	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	18								
5	5	39/2	39/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	19								
6	6	20	20	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	20	no-							
6	6	41/2	41/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	21	men							
6	6	21	21	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	22	ad-							
6	6	43/2	43/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	23	mi-							
6	6	22	22	1.5	1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	24	ra-							
6	6	47/2	47/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	25	bi-							
6	6	20	20	4.0	0	0	Chord	4/4	2	1	1	1	1	26								
7	7	24	24	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	27	le,							
7	7	49/2	49/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	28	no-							
